,team_1,result_1,result_2,team_2
0,paiN,2,0,paiN
1,ChocoCheck,2,0,ChocoCheck
2,NIP,2,0,Evil Geniuses
3,GamerLegion,2,1,Sprout
4,AGO,2,1,AGO
5,Wisla Krakow,2,1,SAW
6,forZe,2,1,ALTERNATE aTTaX
7,OFFSET,2,0,OFFSET
8,Endpoint,2,0,Sangal
9,Budapest Five,2,0,Budapest Five
10,Natus Vincere,2,1,Natus Vincere
11,Fiend,2,0,Fiend
12,Lyngby Vikings,2,0,Sinners
13,Copenhagen Flames,2,1,Budapest Five
14,Galaxy Racer,2,0,Apeks
15,ALTERNATE aTTaX,2,0,ALTERNATE aTTaX
16,BIG,2,1,G2
17,Izako Boars,1,0,Sinners
18,Entropiq,2,1,HAVU
19,BBBMBCBS,2,1,Hazard
20,Dire Wolves,2,1,Renegades
21,Lyngby Vikings,2,1,Lyngby Vikings
22,Copenhagen Flames,16,11,Copenhagen Flames
23,Anonymo,2,0,Anonymo
24,Chiefs,2,0,Chiefs
25,Budapest Five,19,17,SKADE
26,Bandits,2,0,Bandits
27,Paradox,1,0,Paradox
28,FTW,2,0,ONYX
29,Iberian Family,2,0,Iberian Family
30,CENSRD,2,0,CRONEM
31,Recon 5,2,0,Triumph
32,RBG,2,0,TeamOne
33,ChocoCheck,2,0,Big Chillin
34,paiN,2,0,paiN
35,Extra Salt,2,0,Extra Salt
36,ChocoCheck,1,0,Extra Salt
37,BLINK,2,1,Wisla Krakow
38,Sangal,2,1,Sangal
39,LDLC,2,1,SAW
40,forZe,2,0,forZe
41,Endpoint,2,0,Movistar Riders
42,Complexity,2,0,NIP
43,AGO,2,0,AGO
44,1WIN,2,1,1WIN
45,Copenhagen Flames,2,0,Anonymo
46,Gambit,2,0,Gambit
47,Fiend,2,0,Fiend
48,K23,2,0,Lyngby Vikings
49,ALTERNATE aTTaX,2,0,ALTERNATE aTTaX
50,HONORIS,2,1,Iberian Family
51,Hazard,2,1,Hazard
52,Paradox,2,0,Paradox
53,Dignitas,2,0,Dignitas
54,Budapest Five,2,0,Budapest Five
55,R!OT,2,0,R!OT
56,VERTEX,2,0,VERTEX
57,Rooster,2,0,Dynasty
58,Ambush,2,1,Ambush
59,ORDER,1,0,Bandits
60,Dire Wolves,1,0,Sylyx
61,Apeks,2,0,Apeks
62,GamerLegion,2,1,Anonymo
63,Sangal,2,0,Sangal
64,forZe,2,0,Apeks
65,100PG,2,0, bankaPEPSI
66,BIG,2,0,BIG
67,Lyngby Vikings,2,0,Lyngby Vikings
68,Galaxy Racer,2,0,Galaxy Racer
69,SKADE,3,0,SKADE
70,TBATBATBA,2,1,ANIMEplusW
71,HYENAS,2,0,Entropiq
72,Copenhagen Flames,2,0,Copenhagen Flames
73,Anonymo,2,0,Anonymo
74,ORDER,1,0,ORDER
75,ENCE,2,1,HAVU
76,HYENAS,2,0,Apeks
77,Fiend,2,0,Fiend
78,ALTERNATE aTTaX,2,0,Tricked
79,1WIN,2,0,1WIN
80,Counter Nature,2,1,HeadShotKings
81,GODSENT,2,0,GODSENT
82,River Plate,2,1,Boca Juniors
83,Paquetá,2,1,Furious
84,Triton,2,0,Brazen
85,River Plate,2,0,River Plate
86,100PG,2,0,100PG
87,Endpoint,2,0,Endpoint
88,Anonymo,2,0,Izako Boars
89,SAW,2,1,forZe
90,TBATBATBA,2,1,Sky7eveN
91, bankaPEPSI,2,0, bankaPEPSI
92,MAD Lions,2,1,HONORIS
93,Boca Juniors,2,0,Boca Juniors
94,los kogutos,2,0,los kogutos
95,Gambit,3,0,OG
96,ENCE,2,0,ENCE
97,ANIMEplusW,2,0,Trident
98,Checkmate,2,1,CatEvil
99,MAD Lions,2,0,MAD Lions
